'from' | In regular: 172 | In spam: 192
'vheinemannmdcberlinde' | In regular: 3 | In spam: 0
'returnpath' | In regular: 28 | In spam: 9
'received' | In regular: 74 | In spam: 33
'serverbbbmdcberlinde' | In regular: 9 | In spam: 0
'tcwppswrugnl' | In regular: 40 | In spam: 13
'with' | In regular: 100 | In spam: 122
'esmtp' | In regular: 35 | In spam: 14
'mbulacuairugnl' | In regular: 25 | In spam: 18
'vheine' | In regular: 3 | In spam: 0
'smtp' | In regular: 15 | In spam: 10
'date' | In regular: 29 | In spam: 55
'messageid' | In regular: 28 | In spam: 14
'fens' | In regular: 12 | In spam: 0
'office' | In regular: 6 | In spam: 11
'subject' | In regular: 29 | In spam: 74
'market' | In regular: 3 | In spam: 17
'november' | In regular: 17 | In spam: 56
'mimeversion' | In regular: 29 | In spam: 13
'contenttype' | In regular: 44 | In spam: 21
'xaimailscannerinformation' | In regular: 28 | In spam: 13
'please' | In regular: 36 | In spam: 27
'contact' | In regular: 34 | In spam: 18
'helpdeskairugnl' | In regular: 28 | In spam: 13
'more' | In regular: 38 | In spam: 64
'xaimailscanner' | In regular: 28 | In spam: 13
'found' | In regular: 33 | In spam: 19
'xaimailscannerspamcheck' | In regular: 28 | In spam: 13
'spam' | In regular: 29 | In spam: 26
'spamassassin' | In regular: 20 | In spam: 13
'score' | In regular: 27 | In spam: 13
'required' | In regular: 27 | In spam: 15
'linesofyelling' | In regular: 2 | In spam: 3
'member' | In regular: 12 | In spam: 0
'normalhttptoip' | In regular: 1 | In spam: 0
'spamphrase' | In regular: 18 | In spam: 7
'subjectmonth' | In regular: 8 | In spam: 0
'xaimailscannerspamscore' | In regular: 14 | In spam: 13
'status' | In regular: 26 | In spam: 15
'xstatus' | In regular: 26 | In spam: 13
'xkmailencryptionstate' | In regular: 26 | In spam: 13
'xkmailsignaturestate' | In regular: 26 | In spam: 13
'dear' | In regular: 11 | In spam: 0
'find' | In regular: 8 | In spam: 23
'below' | In regular: 6 | In spam: 3
'latest' | In regular: 1 | In spam: 4
'update' | In regular: 2 | In spam: 23
'refer' | In regular: 1 | In spam: 1
'internet' | In regular: 77 | In spam: 10
'site' | In regular: 5 | In spam: 28
'wwwfensorg' | In regular: 1 | In spam: 0
'further' | In regular: 4 | In spam: 0
'details' | In regular: 2 | In spam: 3
'andor' | In regular: 2 | In spam: 0
'instructions' | In regular: 1 | In spam: 0
'under' | In regular: 2 | In spam: 6
'same' | In regular: 2 | In spam: 7
'address' | In regular: 80 | In spam: 1
'want' | In regular: 6 | In spam: 17
'check' | In regular: 2 | In spam: 3
'section' | In regular: 6 | In spam: 12
'well' | In regular: 1 | In spam: 14
'where' | In regular: 5 | In spam: 13
'many' | In regular: 4 | In spam: 19
'congresses' | In regular: 1 | In spam: 0
'interest' | In regular: 6 | In spam: 4
'finally' | In regular: 1 | In spam: 1
'service' | In regular: 6 | In spam: 36
'includes' | In regular: 1 | In spam: 0
'several' | In regular: 1 | In spam: 5
'offers' | In regular: 2 | In spam: 9
'reduced' | In regular: 2 | In spam: 0
'books' | In regular: 1 | In spam: 11
'student' | In regular: 24 | In spam: 0
'belgium' | In regular: 3 | In spam: 0
'ghent' | In regular: 2 | In spam: 0
'university' | In regular: 69 | In spam: 4
'department' | In regular: 14 | In spam: 8
'experimental' | In regular: 6 | In spam: 0
'canada' | In regular: 1 | In spam: 3
'montreal' | In regular: 1 | In spam: 0
'institut' | In regular: 8 | In spam: 0
'national' | In regular: 7 | In spam: 11
'recherche' | In regular: 2 | In spam: 0
'scientifique' | In regular: 2 | In spam: 0
'armand' | In regular: 2 | In spam: 0
'frappier' | In regular: 1 | In spam: 0
'czech' | In regular: 2 | In spam: 0
'republic' | In regular: 1 | In spam: 1
'prague' | In regular: 1 | In spam: 0
'charles' | In regular: 3 | In spam: 0
'dept' | In regular: 7 | In spam: 1
'germany' | In regular: 12 | In spam: 0
'hannover' | In regular: 1 | In spam: 0
'institute' | In regular: 26 | In spam: 0
'pharmacology' | In regular: 3 | In spam: 0
'center' | In regular: 11 | In spam: 2
'systems' | In regular: 10 | In spam: 1
'neuroscience' | In regular: 77 | In spam: 0
'school' | In regular: 7 | In spam: 8
'veterinary' | In regular: 1 | In spam: 0
'osnabrueck' | In regular: 1 | In spam: 0
'cognitive' | In regular: 5 | In spam: 0
'science' | In regular: 11 | In spam: 4
'graduate' | In regular: 5 | In spam: 1
'postdoctoral' | In regular: 50 | In spam: 0
'positions' | In regular: 4 | In spam: 0
'frankfurt' | In regular: 3 | In spam: 0
'biochemistry' | In regular: 2 | In spam: 0
'biocenter' | In regular: 2 | In spam: 0
'currently' | In regular: 2 | In spam: 2
'division' | In regular: 3 | In spam: 0
'biological' | In regular: 3 | In spam: 0
'training' | In regular: 1 | In spam: 1
'tuebingen' | In regular: 5 | In spam: 0
'otolaryngology' | In regular: 1 | In spam: 0
'hearing' | In regular: 1 | In spam: 0
'research' | In regular: 22 | In spam: 3
'netherlands' | In regular: 12 | In spam: 0
'amsterdam' | In regular: 7 | In spam: 0
'ophthalmic' | In regular: 2 | In spam: 0
'molecular' | In regular: 8 | In spam: 0
'visual' | In regular: 6 | In spam: 1
'rotterdam' | In regular: 6 | In spam: 0
'erasmus' | In regular: 3 | In spam: 0
'medical' | In regular: 16 | In spam: 13
'groningen' | In regular: 5 | In spam: 0
'neuroimaging' | In regular: 2 | In spam: 0
'hospital' | In regular: 3 | In spam: 0
'zealand' | In regular: 2 | In spam: 1
'auckland' | In regular: 4 | In spam: 1
'univ' | In regular: 3 | In spam: 0
'faculty' | In regular: 6 | In spam: 0
'health' | In regular: 4 | In spam: 10
'sciences' | In regular: 9 | In spam: 0
'norway' | In regular: 2 | In spam: 0
'oslo' | In regular: 2 | In spam: 0
'basic' | In regular: 3 | In spam: 1
'singapore' | In regular: 6 | In spam: 0
'epilepsy' | In regular: 3 | In spam: 0
'spain' | In regular: 2 | In spam: 0
'madrid' | In regular: 1 | In spam: 0
'ramon' | In regular: 1 | In spam: 0
'cajal' | In regular: 1 | In spam: 0
'neurobiologiainvestigacion' | In regular: 1 | In spam: 0
'planta' | In regular: 1 | In spam: 0
'catalonia' | In regular: 1 | In spam: 0
'barcelona' | In regular: 2 | In spam: 0
'psychiatry' | In regular: 1 | In spam: 0
'clinical' | In regular: 4 | In spam: 1
'switzerland' | In regular: 4 | In spam: 0
'lausanne' | In regular: 4 | In spam: 0
'biologie' | In regular: 2 | In spam: 0
'cellulaire' | In regular: 3 | In spam: 0
'morpholobie' | In regular: 1 | In spam: 0
'ibcm' | In regular: 1 | In spam: 0
'united' | In regular: 12 | In spam: 5
'predoctoral' | In regular: 1 | In spam: 0
'position' | In regular: 50 | In spam: 6
'birmingham' | In regular: 6 | In spam: 1
'milwaukee' | In regular: 1 | In spam: 0
'wisconsin' | In regular: 1 | In spam: 0
'antwerp' | In regular: 4 | In spam: 0
'biomedical' | In regular: 4 | In spam: 0
'france' | In regular: 14 | In spam: 11
'montpellier' | In regular: 4 | In spam: 0
'neurosciences' | In regular: 2 | In spam: 0
'inserm' | In regular: 7 | In spam: 0
'marseille' | In regular: 2 | In spam: 0
'medicine' | In regular: 11 | In spam: 0
'cnrs' | In regular: 4 | In spam: 0
'bordeaux' | In regular: 1 | In spam: 0
'cnrsinstitut' | In regular: 1 | In spam: 0
'magendie' | In regular: 1 | In spam: 0
'castres' | In regular: 1 | In spam: 0
'southern' | In regular: 1 | In spam: 0
'pierre' | In regular: 1 | In spam: 0
'fabre' | In regular: 1 | In spam: 0
'jean' | In regular: 1 | In spam: 0
'roche' | In regular: 1 | In spam: 0
'unit' | In regular: 1 | In spam: 1
'lyon' | In regular: 1 | In spam: 0
'centre' | In regular: 7 | In spam: 1
'ginitique' | In regular: 2 | In spam: 0
'moliculaire' | In regular: 2 | In spam: 0
'cgmc' | In regular: 1 | In spam: 0
'orsay' | In regular: 1 | In spam: 0
'curie' | In regular: 1 | In spam: 0
'marseilles' | In regular: 1 | In spam: 0
'integration' | In regular: 4 | In spam: 0
'informations' | In regular: 2 | In spam: 0
'strasbourg' | In regular: 1 | In spam: 0
'neurochimie' | In regular: 1 | In spam: 0
'physiopathologie' | In regular: 1 | In spam: 0
'systhme' | In regular: 1 | In spam: 0
'paris' | In regular: 1 | In spam: 6
'functional' | In regular: 2 | In spam: 0
'genomics' | In regular: 1 | In spam: 0
'laboratory' | In regular: 3 | In spam: 0
'ccipe' | In regular: 1 | In spam: 0
'main' | In regular: 1 | In spam: 34
'merz' | In regular: 1 | In spam: 0
'pharmaceuticals' | In regular: 1 | In spam: 0
'behavioural' | In regular: 1 | In spam: 0
'magdeburg' | In regular: 1 | In spam: 0
'leibnizinstitut' | In regular: 1 | In spam: 0
'neurobiologie' | In regular: 1 | In spam: 0
'development' | In regular: 4 | In spam: 2
'ophthalmology' | In regular: 1 | In spam: 0
'retinal' | In regular: 1 | In spam: 0
'electrodiagnostics' | In regular: 1 | In spam: 0
'koeln' | In regular: 1 | In spam: 0
'german' | In regular: 1 | In spam: 0
'sport' | In regular: 1 | In spam: 8
'berlin' | In regular: 2 | In spam: 1
'maxdelbrueckcentrum' | In regular: 1 | In spam: 0
'fuer' | In regular: 2 | In spam: 0
'molekulare' | In regular: 2 | In spam: 0
'medizin' | In regular: 1 | In spam: 0
'delbrueck' | In regular: 1 | In spam: 0
'centrum' | In regular: 1 | In spam: 0
'italy' | In regular: 6 | In spam: 0
'parma' | In regular: 2 | In spam: 0
'physiology' | In regular: 3 | In spam: 1
'milano' | In regular: 3 | In spam: 0
'neuropharmacologydepartment' | In regular: 1 | In spam: 0
'pharmacological' | In regular: 2 | In spam: 0
'rome' | In regular: 1 | In spam: 0
'santa' | In regular: 1 | In spam: 0
'lucia' | In regular: 1 | In spam: 0
'foundation' | In regular: 1 | In spam: 2
'irccs' | In regular: 1 | In spam: 0
'wwwhsantaluciait' | In regular: 1 | In spam: 0
'rita' | In regular: 1 | In spam: 0
'levi' | In regular: 1 | In spam: 0
'montalcini' | In regular: 1 | In spam: 0
'brain' | In regular: 16 | In spam: 1
'repair' | In regular: 2 | In spam: 0
'dibit' | In regular: 1 | In spam: 0
'vitasalute' | In regular: 1 | In spam: 0
'raffaele' | In regular: 1 | In spam: 0
'utrecht' | In regular: 1 | In spam: 0
'rudolf' | In regular: 1 | In spam: 0
'magnus' | In regular: 1 | In spam: 0
'neuromedical' | In regular: 1 | In spam: 0
'sweden' | In regular: 1 | In spam: 0
'uppsala' | In regular: 2 | In spam: 0
'cell' | In regular: 3 | In spam: 1
'zurich' | In regular: 2 | In spam: 0
'basel' | In regular: 1 | In spam: 0
'jolla' | In regular: 1 | In spam: 0
'diego' | In regular: 1 | In spam: 0
'novartis' | In regular: 1 | In spam: 0
'institutes' | In regular: 2 | In spam: 0
'nervous' | In regular: 1 | In spam: 0
'system' | In regular: 4 | In spam: 3
'london' | In regular: 7 | In spam: 5
'neurology' | In regular: 2 | In spam: 0
'college' | In regular: 4 | In spam: 3
'obsgynae' | In regular: 2 | In spam: 0
'perinat' | In regular: 1 | In spam: 0
'protection' | In regular: 1 | In spam: 4
'assistant' | In regular: 2 | In spam: 0
'neural' | In regular: 4 | In spam: 0
'york' | In regular: 1 | In spam: 3
'mount' | In regular: 1 | In spam: 1
'sinai' | In regular: 1 | In spam: 0
'portland' | In regular: 1 | In spam: 0
'oregon' | In regular: 1 | In spam: 0
'primate' | In regular: 2 | In spam: 0
'antonio' | In regular: 1 | In spam: 0
'texas' | In regular: 1 | In spam: 0
'arbor' | In regular: 2 | In spam: 0
'michigan' | In regular: 2 | In spam: 1
'internal' | In regular: 1 | In spam: 0
'integrative' | In regular: 2 | In spam: 0
'louis' | In regular: 1 | In spam: 1
'washington' | In regular: 1 | In spam: 0
'tucson' | In regular: 1 | In spam: 0
'arizona' | In regular: 1 | In spam: 0
'memory' | In regular: 6 | In spam: 1
'boston' | In regular: 2 | In spam: 0
'harvard' | In regular: 2 | In spam: 0
'professor' | In regular: 2 | In spam: 0
'austria' | In regular: 1 | In spam: 0
'vienna' | In regular: 2 | In spam: 0
'evanston' | In regular: 1 | In spam: 0
'illinois' | In regular: 1 | In spam: 0
'chicago' | In regular: 1 | In spam: 0
'mechanical' | In regular: 1 | In spam: 7
'technical' | In regular: 7 | In spam: 0
'technician' | In regular: 1 | In spam: 0
'brighton' | In regular: 1 | In spam: 0
'sussex' | In regular: 1 | In spam: 0
'commercial' | In regular: 5 | In spam: 3
'noldus' | In regular: 2 | In spam: 0
'information' | In regular: 58 | In spam: 9
'technology' | In regular: 6 | In spam: 4
'sales' | In regular: 2 | In spam: 5
'vera' | In regular: 3 | In spam: 0
'maxdelbrueckcenter' | In regular: 3 | In spam: 0
'robertroesslestr' | In regular: 3 | In spam: 0
'phone' | In regular: 4 | In spam: 7
'email' | In regular: 26 | In spam: 7
'iliebulacufxro' | In regular: 1 | In spam: 0
'corporatefxro' | In regular: 3 | In spam: 0
'mailfxro' | In regular: 3 | In spam: 0
'ilie' | In regular: 2 | In spam: 0
'pppfxro' | In regular: 1 | In spam: 0
'bulacu' | In regular: 8 | In spam: 0
'china' | In regular: 13 | In spam: 0
'becomes' | In regular: 3 | In spam: 1
'only' | In regular: 8 | In spam: 32
'third' | In regular: 5 | In spam: 4
'nation' | In regular: 5 | In spam: 1
'xpriority' | In regular: 3 | In spam: 5
'xmsmailpriority' | In regular: 2 | In spam: 0
'xmailer' | In regular: 15 | In spam: 5
'microsoft' | In regular: 4 | In spam: 11
'outlook' | In regular: 2 | In spam: 2
'express' | In regular: 2 | In spam: 4
'xmimeole' | In regular: 2 | In spam: 0
'produced' | In regular: 2 | In spam: 2
'mimeole' | In regular: 2 | In spam: 0
'xravmilterversion' | In regular: 1 | In spam: 0
'snapshot' | In regular: 1 | In spam: 0
'useragentoe' | In regular: 2 | In spam: 1
'this' | In regular: 44 | In spam: 359
'multipart' | In regular: 8 | In spam: 0
'message' | In regular: 14 | In spam: 10
'mime' | In regular: 7 | In spam: 0
'contenttransferencoding' | In regular: 26 | In spam: 14
'brian' | In regular: 3 | In spam: 0
'beijing' | In regular: 1 | In spam: 0
'reuters' | In regular: 4 | In spam: 0
'first' | In regular: 14 | In spam: 21
'space' | In regular: 23 | In spam: 0
'wednesday' | In regular: 4 | In spam: 9
'sending' | In regular: 2 | In spam: 0
'single' | In regular: 3 | In spam: 3
'astronaut' | In regular: 2 | In spam: 0
'hour' | In regular: 1 | In spam: 8
'odyssey' | In regular: 2 | In spam: 0
'around' | In regular: 8 | In spam: 8
'earth' | In regular: 6 | In spam: 1
'four' | In regular: 4 | In spam: 2
'decades' | In regular: 2 | In spam: 0
'after' | In regular: 7 | In spam: 24
'soviet' | In regular: 3 | In spam: 0
'union' | In regular: 4 | In spam: 0
'states' | In regular: 7 | In spam: 4
'manned' | In regular: 3 | In spam: 0
'long' | In regular: 7 | In spam: 8
'march' | In regular: 8 | In spam: 3
'rocket' | In regular: 8 | In spam: 0
'carrying' | In regular: 2 | In spam: 1
'taikonaut' | In regular: 2 | In spam: 0
'yang' | In regular: 10 | In spam: 0
'liwei' | In regular: 2 | In spam: 0
'lifted' | In regular: 4 | In spam: 0
'into' | In regular: 8 | In spam: 13
'clear' | In regular: 4 | In spam: 2
'blue' | In regular: 5 | In spam: 1
'over' | In regular: 8 | In spam: 31
'desert' | In regular: 1 | In spam: 2
'entered' | In regular: 2 | In spam: 1
'predetermined' | In regular: 2 | In spam: 0
'orbit' | In regular: 4 | In spam: 0
'minutes' | In regular: 4 | In spam: 3
'official' | In regular: 8 | In spam: 1
'xinhua' | In regular: 7 | In spam: 0
'news' | In regular: 10 | In spam: 55
'agency' | In regular: 2 | In spam: 0
'quickly' | In regular: 4 | In spam: 2
'declared' | In regular: 1 | In spam: 0
'launch' | In regular: 14 | In spam: 1
'feel' | In regular: 3 | In spam: 6
'good' | In regular: 3 | In spam: 7
'conditions' | In regular: 2 | In spam: 3
'normal' | In regular: 2 | In spam: 4
'quoted' | In regular: 5 | In spam: 0
'saying' | In regular: 2 | In spam: 7
'divine' | In regular: 2 | In spam: 0
'ship' | In regular: 2 | In spam: 3
'making' | In regular: 2 | In spam: 6
'pass' | In regular: 1 | In spam: 0
'part' | In regular: 2 | In spam: 1
'historic' | In regular: 4 | In spam: 1
'mission' | In regular: 4 | In spam: 3
'which' | In regular: 9 | In spam: 34
'completed' | In regular: 3 | In spam: 0
'will' | In regular: 34 | In spam: 52
'make' | In regular: 6 | In spam: 25
'just' | In regular: 5 | In spam: 20
'successfully' | In regular: 2 | In spam: 0
'return' | In regular: 3 | In spam: 67
'years' | In regular: 4 | In spam: 6
'behind' | In regular: 4 | In spam: 5
'jiuquan' | In regular: 4 | In spam: 0
'onlookers' | In regular: 2 | In spam: 0
